id,m_cf1,m_cf2,m_cf3,m_cf4,m_cf5,m_cf6
1070,4.51,2.58,3.34,1.42,3.55,1.78
1071,4.65,2.52,3.25,1.38,3.65,1.73
1072,4.74,2.48,3.17,1.35,3.73,1.68
1073,4.79,2.42,3.07,1.38,3.84,1.64
1074,4.82,2.35,2.99,1.41,3.93,1.58
1075,4.82,2.29,2.89,1.44,4.01,1.54
1076,4.79,2.23,2.81,1.46,4.09,1.49
1077,4.74,2.16,2.72,1.48,4.16,1.43
1078,4.65,2.09,2.78,1.5,4.23,1.38
1079,4.51,2.02,2.83,1.5,4.27,1.33
1080,4.37,1.94,2.89,1.5,4.32,1.27
1081,4.21,1.87,2.94,1.48,4.33,1.22
1082,4.02,1.79,3.0,1.46,4.34,1.17
1083,3.84,1.72,3.04,1.44,4.33,1.11
1084,3.65,1.64,3.08,1.41,4.32,1.06
1085,3.45,1.56,3.13,1.38,4.27,1.01
1086,3.27,1.48,3.17,1.35,4.23,0.95
1087,3.06,1.4,3.2,1.32,4.16,0.89
1088,2.86,1.32,3.23,1.29,4.09,0.84
1089,2.66,1.24,3.25,1.25,4.01,0.79
1090,2.47,1.17,3.27,1.22,4.01,0.73
1091,2.29,1.08,3.29,1.19,4.12,0.68
1092,2.1,1.0,3.3,1.16,4.22,0.62
1093,1.92,0.93,3.31,1.13,4.32,0.56
1094,1.75,0.84,3.31,1.1,4.4,0.51
1095,1.56,0.77,3.31,1.06,4.48,0.45
1096,1.39,0.68,3.3,1.03,4.55,0.4
1097,1.2,0.6,3.29,1.0,4.6,0.35
1098,1.04,0.52,3.27,0.97,4.63,0.29
1099,0.86,0.45,3.25,0.95,4.64,0.24
1100,0.68,0.37,3.23,0.95,4.63,0.18
1101,0.96,2.42,4.6,1.17,3.8,1.9
1102,1.15,2.48,4.61,1.21,3.85,1.93
1103,1.31,2.51,4.6,1.24,3.88,1.96
1104,1.5,2.56,4.57,1.27,3.9,1.98
1105,1.67,2.59,4.54,1.31,3.93,1.99
1106,1.85,2.62,4.49,1.34,3.93,2.01
1107,2.02,2.64,4.44,1.38,3.93,2.01
1108,2.21,2.66,4.38,1.41,3.9,2.01
1109,2.39,2.68,4.31,1.45,3.88,2.01
1110,2.58,2.69,4.24,1.48,3.85,2.01
1111,2.75,2.69,4.16,1.52,3.8,1.99
1112,2.95,2.69,4.08,1.55,3.75,1.98
1113,3.13,2.68,4.0,1.58,3.68,1.96
1114,3.31,2.66,3.91,1.59,3.62,1.93
1115,3.5,2.64,3.82,1.58,3.55,1.9
1116,3.67,2.62,3.73,1.55,3.47,1.87
1117,3.84,2.59,3.64,1.52,3.39,1.84
1118,4.0,2.56,3.55,1.48,3.3,1.81
1119,4.15,2.51,3.47,1.45,3.37,1.76
1120,4.29,2.48,3.38,1.41,3.47,1.72
1121,4.4,2.42,3.29,1.38,3.56,1.68
1122,4.48,2.37,3.2,1.37,3.66,1.64
1123,4.51,2.32,3.11,1.4,3.73,1.59
1124,4.53,2.26,3.02,1.43,3.82,1.55
1125,4.53,2.2,2.93,1.46,3.9,1.49
1126,4.51,2.14,2.83,1.5,3.97,1.45
1127,4.48,2.07,2.74,1.52,4.04,1.4
1128,4.4,2.01,2.7,1.54,4.09,1.34
1129,4.29,1.93,2.76,1.55,4.15,1.29
1130,4.15,1.87,2.82,1.54,4.17,1.24
1131,4.0,1.79,2.86,1.52,4.2,1.19
1132,3.84,1.72,2.91,1.5,4.2,1.14
1133,3.67,1.65,2.96,1.46,4.2,1.08
1134,3.5,1.57,3.0,1.43,4.17,1.03
1135,3.31,1.49,3.04,1.4,4.15,0.97
1136,3.13,1.42,3.07,1.37,4.09,0.92
1137,2.95,1.34,3.11,1.33,4.04,0.87
1138,2.75,1.26,3.14,1.3,3.97,0.82
1139,2.58,1.19,3.16,1.27,3.9,0.76
1140,2.39,1.11,3.18,1.23,3.93,0.71
1141,2.21,1.03,3.2,1.2,4.02,0.65
1142,2.02,0.95,3.21,1.17,4.12,0.59
1143,1.85,0.87,3.22,1.14,4.2,0.54
1144,1.67,0.8,3.22,1.1,4.29,0.49
1145,1.5,0.71,3.22,1.07,4.36,0.43
1146,1.31,0.64,3.21,1.04,4.42,0.38
1147,1.15,0.56,3.2,1.01,4.46,0.32
1148,0.96,0.48,3.18,0.98,4.48,0.27
1149,0.8,0.4,3.16,0.95,4.49,0.21
1150,0.65,0.32,3.14,0.92,4.48,0.16
1151,0.91,2.32,4.7,1.17,3.68,1.84
1152,1.07,2.36,4.71,1.2,3.72,1.87
1153,1.26,2.41,4.7,1.23,3.76,1.89
1154,1.42,2.44,4.68,1.27,3.77,1.91
1155,1.59,2.48,4.64,1.3,3.8,1.92
1156,1.77,2.5,4.58,1.33,3.8,1.94
1157,1.94,2.52,4.52,1.37,3.8,1.94
1158,2.1,2.55,4.45,1.4,3.77,1.94
1159,2.29,2.56,4.38,1.43,3.76,1.94
1160,2.47,2.57,4.3,1.46,3.72,1.94
1161,2.64,2.57,4.22,1.5,3.68,1.92
1162,2.82,2.57,4.13,1.52,3.63,1.91
1163,2.99,2.56,4.05,1.54,3.57,1.89
1164,3.15,2.55,3.96,1.55,3.51,1.87
1165,3.34,2.52,3.87,1.54,3.45,1.84
1166,3.5,2.5,3.78,1.52,3.37,1.81
1167,3.65,2.48,3.68,1.5,3.3,1.78
1168,3.79,2.44,3.59,1.46,3.22,1.74
1169,3.92,2.41,3.5,1.43,3.3,1.71
1170,4.05,2.36,3.41,1.4,3.39,1.67
1171,4.13,2.32,3.32,1.37,3.47,1.63
1172,4.21,2.27,3.23,1.38,3.56,1.58
1173,4.23,2.21,3.14,1.41,3.65,1.55
1174,4.26,2.16,3.04,1.45,3.72,1.5
1175,4.26,2.1,2.95,1.48,3.8,1.45
1176,4.23,2.05,2.86,1.52,3.86,1.4
1177,4.21,1.98,2.77,1.55,3.92,1.36
1178,4.13,1.92,2.67,1.58,3.97,1.31
1179,4.05,1.86,2.68,1.59,4.01,1.26
1180,3.92,1.78,2.73,1.58,4.04,1.2
1181,3.79,1.72,2.78,1.55,4.06,1.15
1182,3.65,1.65,2.83,1.52,4.06,1.1
1183,3.5,1.57,2.87,1.48,4.06,1.05
1184,3.34,1.5,2.91,1.45,4.04,1.0
1185,3.15,1.42,2.95,1.41,4.01,0.94
1186,2.99,1.35,2.99,1.38,3.97,0.89
1187,2.82,1.27,3.02,1.34,3.92,0.84
1188,2.64,1.21,3.04,1.31,3.86,0.79
1189,2.47,1.13,3.06,1.27,3.8,0.73
1190,2.29,1.05,3.08,1.24,3.84,0.68
1191,2.1,0.97,3.1,1.21,3.93,0.62
1192,1.94,0.9,3.11,1.17,4.01,0.57
1193,1.77,0.82,3.12,1.14,4.09,0.52
1194,1.59,0.74,3.12,1.11,4.16,0.46
1195,1.42,0.67,3.12,1.08,4.23,0.41
1196,1.26,0.59,3.11,1.05,4.27,0.36
1197,1.07,0.51,3.1,1.01,4.32,0.3
1198,0.91,0.44,3.08,0.98,4.33,0.25
1199,0.75,0.36,3.06,0.95,4.34,0.19
1200,0.58,0.28,3.04,0.92,4.33,0.14
1201,0.84,2.21,4.81,1.16,3.56,1.78
1202,1.0,2.26,4.82,1.19,3.6,1.81
1203,1.16,2.29,4.81,1.22,3.63,1.83
1204,1.33,2.34,4.77,1.25,3.66,1.84
1205,1.5,2.36,4.73,1.29,3.67,1.85
1206,1.67,2.4,4.67,1.32,3.67,1.87
1207,1.85,2.42,4.6,1.35,3.67,1.87
1208,2.0,2.43,4.52,1.38,3.66,1.87
1209,2.18,2.44,4.44,1.41,3.63,1.87
1210,2.35,2.45,4.36,1.44,3.6,1.87
1211,2.52,2.45,4.27,1.46,3.56,1.85
1212,2.69,2.45,4.18,1.48,3.52,1.84
1213,2.84,2.44,4.09,1.5,3.46,1.83
1214,3.02,2.43,4.0,1.5,3.41,1.81
1215,3.15,2.42,3.91,1.5,3.35,1.78
1216,3.31,2.4,3.81,1.48,3.28,1.75
1217,3.45,2.36,3.72,1.46,3.21,1.72
1218,3.57,2.34,3.62,1.44,3.14,1.69
1219,3.7,2.29,3.53,1.41,3.22,1.66
1220,3.79,2.26,3.44,1.38,3.3,1.62
1221,3.9,2.21,3.35,1.35,3.39,1.58
1222,3.95,2.17,3.25,1.38,3.47,1.54
1223,4.0,2.13,3.16,1.42,3.55,1.49
1224,4.0,2.07,3.06,1.46,3.62,1.45
1225,4.0,2.02,2.98,1.5,3.68,1.41
1226,4.0,1.95,2.88,1.54,3.75,1.36
1227,3.95,1.9,2.79,1.58,3.8,1.31
1228,3.9,1.83,2.69,1.62,3.85,1.27
1229,3.79,1.77,2.6,1.64,3.88,1.22
1230,3.7,1.71,2.66,1.62,3.9,1.17
1231,3.57,1.64,2.7,1.58,3.93,1.12
1232,3.45,1.57,2.75,1.54,3.93,1.07
1233,3.31,1.5,2.79,1.5,3.93,1.02
1234,3.15,1.43,2.83,1.46,3.9,0.96
1235,3.02,1.36,2.86,1.42,3.88,0.91
1236,2.84,1.28,2.89,1.38,3.85,0.86
1237,2.69,1.22,2.93,1.35,3.8,0.81
1238,2.52,1.14,2.95,1.31,3.75,0.76
1239,2.35,1.07,2.98,1.28,3.68,0.7
1240,2.18,0.99,3.0,1.25,3.73,0.65
1241,2.0,0.92,3.01,1.21,3.82,0.6
1242,1.85,0.84,3.02,1.18,3.9,0.55
1243,1.67,0.77,3.02,1.15,3.97,0.49
1244,1.5,0.69,3.02,1.11,4.04,0.44
1245,1.33,0.62,3.02,1.08,4.09,0.39
1246,1.16,0.54,3.02,1.05,4.15,0.33
1247,1.0,0.47,3.01,1.02,4.17,0.28
1248,0.84,0.38,3.0,0.99,4.2,0.22
1249,0.68,0.31,2.98,0.95,4.2,0.17
1250,0.52,0.23,2.95,0.92,4.2,0.12
1251,0.77,2.11,4.91,1.15,3.45,1.72
1252,0.93,2.16,4.93,1.18,3.48,1.74
1253,1.09,2.19,4.91,1.21,3.51,1.76
1254,1.26,2.23,4.87,1.24,3.53,1.78
1255,1.41,2.26,4.82,1.27,3.55,1.79
1256,1.58,2.28,4.74,1.3,3.55,1.8
1257,1.75,2.3,4.67,1.33,3.55,1.81
1258,1.9,2.32,4.58,1.36,3.53,1.81
1259,2.06,2.33,4.49,1.38,3.51,1.81
1260,2.23,2.34,4.41,1.41,3.48,1.8
1261,2.39,2.34,4.32,1.43,3.45,1.79
1262,2.54,2.34,4.22,1.45,3.4,1.78
1263,2.69,2.33,4.13,1.46,3.35,1.76
1264,2.84,2.32,4.04,1.46,3.3,1.74
1265,2.99,2.3,3.94,1.46,3.24,1.72
1266,3.13,2.28,3.84,1.45,3.18,1.69
1267,3.27,2.26,3.75,1.43,3.11,1.66
1268,3.38,2.23,3.65,1.41,3.06,1.63
1269,3.48,2.19,3.55,1.38,3.14,1.6
1270,3.57,2.16,3.47,1.36,3.22,1.56
1271,3.65,2.11,3.37,1.35,3.3,1.53
1272,3.7,2.07,3.27,1.39,3.37,1.49
1273,3.74,2.03,3.18,1.43,3.45,1.45
1274,3.74,1.97,3.08,1.46,3.51,1.4
1275,3.74,1.92,3.0,1.5,3.57,1.36
1276,3.74,1.87,2.9,1.55,3.63,1.31
1277,3.7,1.81,2.81,1.59,3.68,1.27
1278,3.65,1.75,2.71,1.64,3.72,1.22
1279,3.57,1.69,2.62,1.7,3.76,1.17
1280,3.48,1.63,2.57,1.64,3.77,1.13
1281,3.38,1.56,2.62,1.59,3.8,1.08
1282,3.27,1.49,2.67,1.55,3.8,1.03
1283,3.13,1.42,2.7,1.5,3.8,0.98
1284,2.99,1.36,2.74,1.46,3.77,0.93
1285,2.84,1.29,2.78,1.43,3.76,0.88
1286,2.69,1.22,2.81,1.39,3.72,0.83
1287,2.54,1.15,2.83,1.35,3.68,0.78
1288,2.39,1.08,2.86,1.32,3.63,0.73
1289,2.23,1.0,2.88,1.28,3.57,0.68
1290,2.06,0.94,2.9,1.25,3.65,0.62
1291,1.9,0.86,2.91,1.21,3.72,0.57
1292,1.75,0.79,2.92,1.18,3.8,0.52
1293,1.58,0.71,2.93,1.15,3.86,0.46
1294,1.41,0.64,2.93,1.11,3.92,0.42
1295,1.26,0.56,2.93,1.08,3.97,0.36
1296,1.09,0.49,2.92,1.05,4.01,0.31
1297,0.93,0.41,2.91,1.02,4.04,0.25
1298,0.77,0.34,2.9,0.99,4.06,0.2
1299,0.61,0.27,2.88,0.95,4.06,0.15
1300,0.46,0.19,2.86,0.92,4.06,0.1
1301,0.7,2.02,5.01,1.14,3.33,1.66
1302,0.84,2.05,5.04,1.17,3.36,1.68
1303,1.0,2.09,5.01,1.2,3.39,1.7
1304,1.16,2.11,4.97,1.22,3.41,1.71
1305,1.31,2.15,4.9,1.25,3.42,1.72
1306,1.48,2.17,4.82,1.28,3.42,1.73
1307,1.63,2.19,4.73,1.31,3.42,1.74
1308,1.79,2.2,4.64,1.33,3.41,1.74
1309,1.94,2.21,4.54,1.36,3.39,1.74
1310,2.1,2.23,4.45,1.38,3.36,1.73
1311,2.25,2.23,4.35,1.4,3.33,1.72
1312,2.39,2.23,4.26,1.41,3.29,1.71
1313,2.54,2.21,4.16,1.42,3.24,1.7
1314,2.69,2.2,4.06,1.43,3.2,1.68
1315,2.82,2.19,3.97,1.42,3.14,1.66
1316,2.95,2.17,3.87,1.41,3.08,1.63
1317,3.06,2.15,3.77,1.4,3.02,1.6
1318,3.17,2.11,3.67,1.38,2.97,1.57
1319,3.27,2.09,3.57,1.36,3.06,1.54
1320,3.36,2.05,3.49,1.33,3.14,1.51
1321,3.41,2.02,3.39,1.35,3.21,1.47
1322,3.45,1.97,3.29,1.38,3.28,1.43
1323,3.5,1.93,3.2,1.42,3.35,1.4
1324,3.5,1.88,3.1,1.46,3.41,1.36
1325,3.5,1.82,3.01,1.5,3.46,1.31
1326,3.5,1.77,2.91,1.54,3.52,1.27
1327,3.45,1.72,2.82,1.58,3.56,1.22
1328,3.41,1.67,2.72,1.62,3.6,1.18
1329,3.36,1.61,2.63,1.64,3.63,1.14
1330,3.27,1.54,2.53,1.62,3.66,1.09
1331,3.17,1.48,2.53,1.58,3.67,1.04
1332,3.06,1.42,2.58,1.54,3.67,0.99
1333,2.95,1.35,2.62,1.5,3.67,0.94
1334,2.82,1.28,2.66,1.46,3.66,0.89
1335,2.69,1.22,2.68,1.42,3.63,0.85
1336,2.54,1.15,2.72,1.38,3.6,0.8
1337,2.39,1.08,2.74,1.35,3.56,0.74
1338,2.25,1.01,2.77,1.31,3.52,0.69
1339,2.1,0.95,2.79,1.28,3.47,0.64
1340,1.94,0.87,2.81,1.25,3.55,0.59
1341,1.79,0.8,2.82,1.21,3.62,0.54
1342,1.63,0.73,2.83,1.18,3.68,0.49
1343,1.48,0.66,2.83,1.15,3.75,0.44
1344,1.31,0.58,2.83,1.11,3.8,0.39
1345,1.16,0.51,2.83,1.08,3.85,0.33
1346,1.0,0.44,2.83,1.05,3.88,0.28
1347,0.84,0.37,2.82,1.02,3.9,0.23
1348,0.7,0.29,2.81,0.99,3.93,0.18
1349,0.54,0.22,2.79,0.95,3.93,0.13
1350,0.39,0.15,2.77,0.92,3.93,0.07
1351,0.61,1.91,5.13,1.12,3.22,1.59
1352,0.75,1.95,5.15,1.15,3.24,1.61
1353,0.91,1.98,5.13,1.18,3.27,1.63
1354,1.05,2.02,5.06,1.21,3.29,1.64
1355,1.22,2.04,4.97,1.23,3.3,1.66
1356,1.37,2.06,4.87,1.26,3.3,1.66
1357,1.52,2.08,4.77,1.28,3.3,1.67
1358,1.67,2.09,4.68,1.31,3.29,1.67
1359,1.83,2.1,4.57,1.33,3.27,1.67
1360,1.96,2.11,4.48,1.35,3.24,1.66
1361,2.1,2.11,4.38,1.37,3.22,1.66
1362,2.25,2.11,4.28,1.38,3.18,1.64
1363,2.39,2.1,4.18,1.38,3.14,1.63
1364,2.52,2.09,4.08,1.39,3.09,1.61
1365,2.64,2.08,3.98,1.38,3.04,1.59
1366,2.75,2.06,3.89,1.38,2.99,1.57
1367,2.86,2.04,3.79,1.37,2.93,1.55
1368,2.97,2.02,3.69,1.35,2.9,1.51
1369,3.06,1.98,3.59,1.33,2.97,1.49
1370,3.13,1.95,3.49,1.31,3.04,1.45
1371,3.2,1.91,3.4,1.34,3.11,1.42
1372,3.22,1.88,3.3,1.38,3.18,1.38
1373,3.27,1.83,3.21,1.41,3.24,1.34
1374,3.27,1.78,3.11,1.45,3.3,1.31
1375,3.27,1.74,3.02,1.48,3.35,1.27
1376,3.27,1.69,2.92,1.52,3.4,1.22
1377,3.22,1.64,2.83,1.55,3.45,1.18
1378,3.2,1.57,2.73,1.58,3.48,1.14
1379,3.13,1.52,2.64,1.59,3.51,1.09
1380,3.06,1.46,2.54,1.58,3.53,1.05
1381,2.97,1.4,2.45,1.55,3.55,1.0
1382,2.86,1.34,2.5,1.52,3.55,0.96
1383,2.75,1.27,2.53,1.48,3.55,0.91
1384,2.64,1.22,2.56,1.45,3.53,0.86
1385,2.52,1.15,2.6,1.41,3.51,0.81
1386,2.39,1.08,2.63,1.38,3.48,0.76
1387,2.25,1.01,2.66,1.34,3.45,0.71
1388,2.1,0.95,2.67,1.31,3.4,0.66
1389,1.96,0.88,2.69,1.27,3.37,0.61
1390,1.83,0.81,2.71,1.24,3.45,0.56
1391,1.67,0.74,2.72,1.21,3.51,0.51
1392,1.52,0.67,2.73,1.17,3.57,0.46
1393,1.37,0.6,2.74,1.14,3.63,0.41
1394,1.22,0.53,2.74,1.11,3.68,0.36
1395,1.05,0.46,2.74,1.08,3.72,0.31
1396,0.91,0.38,2.73,1.05,3.76,0.26
1397,0.75,0.31,2.72,1.01,3.77,0.21
1398,0.61,0.24,2.71,0.98,3.8,0.15
1399,0.46,0.17,2.69,0.95,3.8,0.1
1400,0.3,0.09,2.67,0.92,3.8,0.05
1401,0.52,1.81,5.22,1.1,3.1,1.53
1402,0.66,1.85,5.27,1.13,3.14,1.55
1403,0.82,1.88,5.22,1.16,3.16,1.56
1404,0.96,1.91,5.13,1.19,3.17,1.58
1405,1.11,1.93,5.01,1.21,3.18,1.59
1406,1.26,1.95,4.91,1.24,3.18,1.6
1407,1.41,1.97,4.81,1.26,3.18,1.6
1408,1.54,1.98,4.7,1.28,3.17,1.6
1409,1.69,2.0,4.6,1.3,3.16,1.6
1410,1.83,2.01,4.49,1.32,3.14,1.6
1411,1.96,2.01,4.39,1.33,3.1,1.59
1412,2.1,2.01,4.3,1.34,3.07,1.58
1413,2.23,2.0,4.2,1.35,3.03,1.56
1414,2.35,1.98,4.1,1.35,2.99,1.55
1415,2.47,1.97,4.0,1.35,2.94,1.53
1416,2.58,1.95,3.9,1.34,2.88,1.51
1417,2.66,1.93,3.8,1.33,2.83,1.49
1418,2.77,1.91,3.7,1.32,2.81,1.45
1419,2.84,1.88,3.6,1.3,2.88,1.43
1420,2.9,1.85,3.5,1.3,2.95,1.4
1421,2.97,1.81,3.41,1.33,3.02,1.36
1422,3.02,1.77,3.31,1.37,3.08,1.33
1423,3.04,1.74,3.22,1.4,3.14,1.29
1424,3.04,1.69,3.12,1.43,3.2,1.26
1425,3.04,1.65,3.02,1.46,3.24,1.22
1426,3.04,1.6,2.93,1.5,3.29,1.17
1427,3.02,1.54,2.83,1.52,3.33,1.14
1428,2.97,1.49,2.74,1.54,3.36,1.09
1429,2.9,1.44,2.65,1.55,3.39,1.05
1430,2.84,1.38,2.55,1.54,3.41,1.01
1431,2.77,1.32,2.46,1.52,3.42,0.96
1432,2.66,1.26,2.41,1.5,3.42,0.91
1433,2.58,1.21,2.44,1.46,3.42,0.87
1434,2.47,1.14,2.48,1.43,3.41,0.82
1435,2.35,1.08,2.51,1.4,3.39,0.77
1436,2.23,1.01,2.53,1.37,3.36,0.73
1437,2.1,0.95,2.56,1.33,3.33,0.68
1438,1.96,0.88,2.58,1.3,3.29,0.63
1439,1.83,0.81,2.6,1.27,3.28,0.58
1440,1.69,0.75,2.62,1.23,3.35,0.53
1441,1.54,0.67,2.63,1.2,3.41,0.48
1442,1.41,0.61,2.64,1.17,3.46,0.43
1443,1.26,0.54,2.65,1.14,3.52,0.38
1444,1.11,0.47,2.65,1.1,3.56,0.33
1445,0.96,0.4,2.65,1.07,3.6,0.28
1446,0.82,0.33,2.64,1.04,3.63,0.23
1447,0.66,0.26,2.63,1.01,3.66,0.18
1448,0.52,0.19,2.62,0.98,3.67,0.13
1449,0.37,0.12,2.6,0.95,3.67,0.07
1450,0.22,0.05,2.58,0.92,3.67,0.02
1451,0.42,1.72,5.27,1.09,3.0,1.47
1452,0.58,1.75,5.4,1.11,3.02,1.49
1453,0.72,1.78,5.27,1.14,3.04,1.5
1454,0.86,1.8,5.15,1.16,3.06,1.51
1455,1.0,1.83,5.04,1.19,3.07,1.53
1456,1.15,1.86,4.93,1.21,3.07,1.53
1457,1.27,1.87,4.82,1.23,3.07,1.54
1458,1.42,1.88,4.71,1.25,3.06,1.54
1459,1.56,1.89,4.61,1.27,3.04,1.54
1460,1.69,1.9,4.5,1.29,3.02,1.53
1461,1.83,1.9,4.4,1.3,3.0,1.53
1462,1.94,1.9,4.3,1.31,2.96,1.51
1463,2.06,1.89,4.2,1.31,2.93,1.5
1464,2.18,1.88,4.1,1.32,2.88,1.49
1465,2.29,1.87,4.0,1.31,2.84,1.47
1466,2.39,1.86,3.9,1.31,2.78,1.45
1467,2.47,1.83,3.8,1.3,2.73,1.42
1468,2.56,1.8,3.7,1.29,2.73,1.4
1469,2.64,1.78,3.6,1.27,2.79,1.37
1470,2.71,1.75,3.5,1.29,2.86,1.34
1471,2.75,1.72,3.41,1.32,2.93,1.31
1472,2.79,1.68,3.31,1.35,2.99,1.27
1473,2.82,1.64,3.22,1.38,3.04,1.24
1474,2.82,1.6,3.12,1.41,3.09,1.2
1475,2.82,1.55,3.02,1.44,3.14,1.17
1476,2.82,1.5,2.93,1.46,3.18,1.13
1477,2.79,1.46,2.83,1.48,3.22,1.09
1478,2.75,1.4,2.74,1.5,3.24,1.05
1479,2.71,1.35,2.65,1.5,3.27,1.01
1480,2.64,1.3,2.55,1.5,3.29,0.96
1481,2.56,1.24,2.46,1.48,3.3,0.92
1482,2.47,1.19,2.37,1.46,3.3,0.87
1483,2.39,1.13,2.36,1.44,3.3,0.83
1484,2.29,1.07,2.39,1.41,3.29,0.78
1485,2.18,1.0,2.42,1.38,3.27,0.74
1486,2.06,0.95,2.45,1.35,3.24,0.69
1487,1.94,0.88,2.47,1.32,3.22,0.64
1488,1.83,0.81,2.5,1.29,3.18,0.59
1489,1.69,0.75,2.52,1.25,3.18,0.55
1490,1.56,0.68,2.52,1.22,3.24,0.5
1491,1.42,0.62,2.53,1.19,3.3,0.45
1492,1.27,0.55,2.54,1.16,3.35,0.4
1493,1.15,0.48,2.55,1.13,3.4,0.35
1494,1.0,0.41,2.55,1.1,3.45,0.3
1495,0.86,0.35,2.55,1.06,3.48,0.25
1496,0.72,0.28,2.54,1.03,3.51,0.2
1497,0.58,0.21,2.53,1.0,3.53,0.15
1498,0.42,0.14,2.52,0.97,3.55,0.1
1499,0.28,0.07,2.52,0.94,3.55,0.05
1500,0.13,-0.0,2.5,0.91,3.55,-0.0
