id,m_cf1,m_cf2,m_cf3,m_cf4,m_cf5,m_cf6,m_cf7,m_cf8,m_cf9,m_cf10
662,4.66,3.58,18.38,7.96,36.63,0.72,9.89,6.36,5.37,8.21
663,4.84,3.67,18.58,8.18,38.74,0.69,9.85,6.28,5.56,8.23
664,5.03,3.76,18.78,8.39,40.84,0.66,9.8,6.17,5.77,8.21
665,5.19,3.84,18.93,8.61,42.95,0.64,9.75,6.07,5.96,8.19
666,5.33,3.91,19.05,8.8,45.05,0.61,9.68,5.97,6.15,8.13
667,5.48,3.98,19.17,8.99,47.16,0.64,9.61,5.9,6.34,8.07
668,5.57,4.02,19.23,9.14,49.26,0.67,9.53,6.07,6.51,7.98
669,5.63,4.05,19.27,9.23,51.37,0.71,9.44,6.24,6.69,7.88
670,5.66,4.06,19.29,9.28,53.47,0.74,9.35,6.4,6.84,7.76
671,5.66,4.06,19.29,9.23,55.58,0.78,9.26,6.57,6.99,7.88
672,5.66,4.06,19.29,9.14,57.68,0.83,9.17,6.72,7.12,7.98
673,5.63,4.05,19.27,8.99,59.79,0.85,9.28,6.9,7.22,8.07
674,5.57,4.02,19.23,8.8,61.89,0.83,9.37,7.05,7.3,8.13
675,5.48,3.98,19.17,8.61,64.0,0.78,9.45,7.21,7.33,8.19
676,5.33,3.91,19.05,8.39,66.11,0.74,9.53,7.38,7.36,8.21
677,5.19,3.84,18.93,8.18,68.21,0.71,9.6,7.53,7.33,8.23
678,5.03,3.76,18.78,7.96,70.32,0.67,9.67,7.69,7.3,8.21
679,4.84,3.67,18.58,7.72,72.21,0.64,9.72,7.84,7.22,8.19
680,4.66,3.58,18.38,7.51,74.32,0.61,9.77,7.98,7.12,8.13
681,4.46,3.47,18.12,7.27,76.42,0.59,9.81,8.14,6.99,8.07
682,4.27,3.36,17.85,7.03,78.53,0.56,9.85,8.28,6.84,7.98
683,4.09,3.25,17.56,6.81,80.63,0.54,9.87,8.41,6.69,7.88
684,3.89,3.13,17.21,6.57,82.74,0.52,9.89,8.53,6.51,7.76
685,3.69,3.01,16.83,6.33,84.63,0.5,9.9,8.66,6.34,7.64
686,3.5,2.89,16.44,6.09,86.74,0.48,9.91,8.76,6.15,7.5
687,3.32,2.77,16.02,5.85,88.63,0.46,9.9,8.84,5.96,7.35
688,3.14,2.65,15.57,5.64,90.53,0.44,9.89,8.91,5.77,7.21
689,2.97,2.53,15.11,5.4,92.42,0.42,9.87,8.95,5.56,7.05
690,2.8,2.41,14.62,5.16,94.11,0.4,9.85,8.97,5.37,6.9
691,2.63,2.28,14.1,4.92,95.37,0.38,9.81,8.95,5.17,6.74
692,2.45,2.15,13.5,4.68,95.79,0.37,9.77,8.91,4.96,6.56
693,2.29,2.03,12.94,4.44,95.37,0.35,9.72,8.84,4.76,6.39
694,2.12,1.9,12.29,4.2,94.11,0.34,9.67,8.76,4.56,6.23
695,1.97,1.77,11.68,3.96,92.42,0.32,9.6,8.66,4.39,6.05
696,1.8,1.64,10.97,3.72,90.53,0.3,9.53,8.53,4.23,5.87
697,1.64,1.51,10.23,3.48,88.63,0.29,9.46,8.41,4.08,5.7
698,1.5,1.38,9.54,3.24,86.74,0.27,9.4,8.28,3.91,5.52
699,1.34,1.25,8.75,3.0,84.63,0.26,9.32,8.14,3.76,5.32
700,1.19,1.12,7.93,2.78,82.74,0.25,9.25,7.98,3.59,5.15
701,2.69,2.33,14.28,5.35,18.11,0.59,9.86,7.07,3.09,6.94
702,2.85,2.45,14.78,5.59,19.79,0.61,9.9,7.07,3.3,7.07
703,3.04,2.58,15.32,5.8,21.68,0.64,9.94,7.05,3.49,7.23
704,3.22,2.7,15.77,6.04,23.37,0.67,9.96,7.02,3.68,7.35
705,3.4,2.82,16.21,6.28,25.26,0.71,9.98,6.98,3.89,7.49
706,3.61,2.96,16.66,6.5,26.95,0.74,9.99,6.95,4.08,7.6
707,3.8,3.08,17.04,6.74,28.84,0.78,10.0,6.9,4.28,7.7
708,4.0,3.2,17.4,6.98,30.53,0.83,9.99,6.83,4.48,7.8
709,4.2,3.32,17.74,7.19,32.21,0.85,9.98,6.76,4.67,7.88
710,4.39,3.43,18.02,7.41,33.89,0.83,9.96,6.69,4.85,7.96
711,4.61,3.55,18.31,7.65,35.58,0.78,9.94,6.6,5.05,8.0
712,4.82,3.66,18.55,7.87,37.26,0.74,9.9,6.52,5.26,8.04
713,5.03,3.76,18.78,8.06,38.95,0.71,9.86,6.41,5.44,8.04
714,5.22,3.86,18.96,8.27,41.05,0.67,9.81,6.31,5.63,8.04
715,5.42,3.95,19.12,8.47,43.16,0.64,9.75,6.21,5.82,8.0
716,5.6,4.03,19.25,8.63,45.26,0.61,9.69,6.09,5.98,7.96
717,5.76,4.1,19.35,8.8,47.37,0.64,9.63,5.98,6.17,7.88
718,5.88,4.15,19.43,8.92,49.47,0.66,9.55,6.02,6.34,7.8
719,5.95,4.18,19.46,9.02,51.58,0.69,9.46,6.19,6.49,7.78
720,5.98,4.19,19.48,9.04,53.68,0.72,9.37,6.34,6.64,7.92
721,5.98,4.19,19.48,9.02,55.79,0.76,9.27,6.52,6.76,8.04
722,5.98,4.19,19.48,8.92,57.89,0.78,9.2,6.67,6.89,8.15
723,5.95,4.18,19.46,8.8,60.0,0.79,9.31,6.83,6.97,8.25
724,5.88,4.15,19.43,8.63,62.11,0.78,9.41,6.98,7.04,8.33
725,5.76,4.1,19.35,8.47,64.21,0.76,9.49,7.14,7.07,8.39
726,5.6,4.03,19.25,8.27,66.32,0.72,9.56,7.29,7.1,8.41
727,5.42,3.95,19.12,8.06,68.42,0.69,9.64,7.45,7.07,8.43
728,5.22,3.86,18.96,7.87,70.53,0.66,9.7,7.6,7.04,8.41
729,5.03,3.76,18.78,7.65,72.63,0.64,9.75,7.76,6.97,8.39
730,4.82,3.66,18.55,7.41,74.74,0.61,9.81,7.9,6.89,8.33
731,4.61,3.55,18.31,7.19,76.84,0.58,9.85,8.03,6.76,8.25
732,4.39,3.43,18.02,6.98,78.95,0.56,9.88,8.17,6.64,8.15
733,4.2,3.32,17.74,6.74,80.84,0.54,9.91,8.29,6.49,8.04
734,4.0,3.2,17.4,6.5,82.95,0.51,9.92,8.41,6.34,7.92
735,3.8,3.08,17.04,6.28,85.05,0.49,9.94,8.52,6.17,7.78
736,3.61,2.96,16.66,6.04,87.16,0.47,9.94,8.6,5.98,7.64
737,3.4,2.82,16.21,5.8,89.26,0.46,9.94,8.69,5.82,7.49
738,3.22,2.7,15.77,5.59,91.37,0.44,9.92,8.74,5.63,7.33
739,3.04,2.58,15.32,5.35,93.26,0.42,9.91,8.78,5.44,7.17
740,2.85,2.45,14.78,5.11,95.37,0.4,9.88,8.79,5.26,6.99
741,2.69,2.33,14.28,4.87,97.05,0.38,9.85,8.78,5.12,6.84
742,2.5,2.19,13.69,4.63,97.89,0.37,9.81,8.74,4.99,6.66
743,2.34,2.07,13.13,4.41,97.05,0.35,9.75,8.69,4.85,6.48
744,2.17,1.94,12.49,4.17,95.37,0.33,9.7,8.6,4.7,6.31
745,2.0,1.8,11.81,3.93,93.26,0.32,9.64,8.52,4.54,6.13
746,1.85,1.68,11.18,3.69,91.37,0.3,9.56,8.41,4.39,5.95
747,1.69,1.55,10.45,3.45,89.26,0.29,9.49,8.29,4.21,5.78
748,1.53,1.41,9.7,3.21,87.16,0.27,9.41,8.17,4.06,5.58
749,1.37,1.28,8.91,2.97,85.05,0.26,9.31,8.03,3.89,5.4
750,1.23,1.16,8.18,2.73,82.95,0.24,9.2,7.9,3.72,5.21
751,2.74,2.37,14.45,5.3,18.95,0.59,9.87,7.24,3.02,6.8
752,2.91,2.49,14.95,5.52,20.84,0.62,9.91,7.24,3.21,6.94
753,3.1,2.62,15.47,5.76,22.74,0.64,9.94,7.22,3.4,7.07
754,3.28,2.74,15.92,5.97,24.63,0.68,9.97,7.19,3.59,7.21
755,3.48,2.88,16.39,6.21,26.32,0.71,9.99,7.16,3.78,7.33
756,3.67,3.0,16.79,6.43,28.21,0.75,10.0,7.1,3.98,7.45
757,3.89,3.13,17.21,6.67,29.89,0.79,10.0,7.05,4.17,7.54
758,4.09,3.25,17.56,6.88,31.79,0.85,10.0,6.98,4.37,7.62
759,4.3,3.37,17.88,7.1,33.47,1.0,9.99,6.91,4.56,7.7
760,4.51,3.49,18.19,7.31,35.16,0.85,9.97,6.83,4.74,7.76
761,4.74,3.62,18.47,7.53,36.84,0.79,9.94,6.74,4.94,7.8
762,4.97,3.74,18.72,7.75,38.53,0.75,9.91,6.66,5.12,7.84
763,5.19,3.84,18.93,7.94,40.21,0.71,9.87,6.55,5.31,7.84
764,5.42,3.95,19.12,8.13,41.68,0.68,9.82,6.45,5.49,7.84
765,5.63,4.05,19.27,8.3,43.37,0.64,9.76,6.33,5.65,7.8
766,5.85,4.14,19.41,8.47,45.26,0.62,9.7,6.22,5.84,7.76
767,6.05,4.22,19.51,8.61,47.37,0.62,9.63,6.1,5.98,7.7
768,6.19,4.27,19.58,8.71,49.47,0.65,9.55,5.98,6.15,7.76
769,6.3,4.31,19.62,8.78,51.58,0.68,9.46,6.12,6.29,7.92
770,6.33,4.33,19.64,8.8,53.68,0.7,9.37,6.29,6.42,8.06
771,6.33,4.33,19.64,8.78,55.79,0.72,9.27,6.45,6.54,8.19
772,6.33,4.33,19.64,8.71,57.89,0.74,9.23,6.6,6.64,8.31
773,6.3,4.31,19.62,8.61,60.0,0.75,9.34,6.76,6.74,8.41
774,6.19,4.27,19.58,8.47,62.11,0.74,9.42,6.91,6.79,8.51
775,6.05,4.22,19.51,8.3,64.21,0.72,9.51,7.07,6.84,8.57
776,5.85,4.14,19.41,8.13,66.32,0.7,9.6,7.22,6.84,8.61
777,5.63,4.05,19.27,7.94,68.42,0.68,9.66,7.36,6.84,8.62
778,5.42,3.95,19.12,7.75,70.53,0.65,9.73,7.52,6.79,8.61
779,5.19,3.84,18.93,7.53,72.63,0.62,9.78,7.66,6.74,8.57
780,4.97,3.74,18.72,7.31,74.74,0.6,9.83,7.79,6.64,8.51
781,4.74,3.62,18.47,7.1,76.84,0.58,9.87,7.93,6.54,8.41
782,4.51,3.49,18.19,6.88,78.95,0.55,9.91,8.05,6.42,8.31
783,4.3,3.37,17.88,6.67,81.05,0.53,9.93,8.17,6.29,8.19
784,4.09,3.25,17.56,6.43,83.16,0.51,9.95,8.28,6.15,8.06
785,3.89,3.13,17.21,6.21,85.26,0.49,9.96,8.38,5.98,7.92
786,3.67,3.0,16.79,5.97,87.37,0.47,9.97,8.47,5.89,7.76
787,3.48,2.88,16.39,5.76,89.47,0.45,9.96,8.53,5.79,7.6
788,3.28,2.74,15.92,5.52,91.58,0.43,9.95,8.59,5.68,7.45
789,3.1,2.62,15.47,5.3,93.68,0.41,9.93,8.6,5.56,7.27
790,2.91,2.49,14.95,5.06,95.79,0.4,9.91,8.62,5.44,7.09
791,2.74,2.37,14.45,4.82,97.89,0.38,9.87,8.6,5.31,6.92
792,2.56,2.23,13.87,4.58,100.0,0.36,9.83,8.59,5.17,6.74
793,2.38,2.1,13.26,4.36,97.89,0.35,9.78,8.53,5.01,6.56
794,2.21,1.96,12.62,4.12,95.79,0.33,9.73,8.47,4.85,6.39
795,2.05,1.84,12.02,3.88,93.68,0.32,9.66,8.38,4.7,6.21
796,1.88,1.71,11.32,3.65,91.58,0.3,9.6,8.28,4.54,6.03
797,1.72,1.57,10.6,3.41,89.47,0.29,9.51,8.17,4.37,5.83
798,1.56,1.44,9.85,3.19,87.37,0.27,9.42,8.05,4.19,5.66
799,1.4,1.3,9.07,2.95,85.26,0.26,9.34,7.93,4.02,5.46
800,1.26,1.18,8.34,2.71,83.16,0.24,9.23,7.79,3.85,5.28
801,2.78,2.39,14.56,5.23,20.0,0.59,9.86,7.41,2.94,6.66
802,2.97,2.53,15.11,5.44,21.89,0.61,9.9,7.41,3.13,6.8
803,3.14,2.65,15.57,5.68,23.79,0.64,9.94,7.4,3.32,6.94
804,3.34,2.78,16.07,5.9,25.47,0.67,9.96,7.36,3.51,7.05
805,3.55,2.92,16.53,6.12,27.37,0.71,9.98,7.33,3.7,7.17
806,3.74,3.04,16.92,6.35,29.26,0.74,9.99,7.28,3.89,7.27
807,3.95,3.17,17.33,6.57,30.95,0.78,10.0,7.21,4.06,7.37
808,4.18,3.31,17.71,6.79,32.84,0.83,9.99,7.14,4.26,7.45
809,4.39,3.43,18.02,7.0,34.53,0.85,9.98,7.07,4.45,7.52
810,4.61,3.55,18.31,7.19,36.42,0.83,9.96,6.98,4.63,7.56
811,4.87,3.68,18.61,7.41,38.11,0.78,9.94,6.9,4.81,7.6
812,5.11,3.8,18.86,7.6,39.79,0.74,9.9,6.79,4.99,7.64
813,5.33,3.91,19.05,7.79,41.47,0.71,9.86,6.69,5.17,7.64
814,5.6,4.03,19.25,7.96,43.16,0.67,9.81,6.59,5.33,7.64
815,5.85,4.14,19.41,8.13,44.84,0.64,9.75,6.47,5.49,7.6
816,6.09,4.23,19.53,8.27,46.32,0.61,9.69,6.34,5.65,7.56
817,6.33,4.33,19.64,8.39,47.79,0.61,9.63,6.22,5.82,7.7
818,6.52,4.4,19.71,8.49,49.47,0.63,9.55,6.09,5.96,7.88
819,6.68,4.45,19.76,8.54,51.58,0.65,9.46,6.07,6.1,8.04
820,6.72,4.46,19.77,8.56,53.68,0.68,9.37,6.22,6.22,8.19
821,6.72,4.46,19.77,8.54,55.79,0.69,9.27,6.38,6.32,8.33
822,6.72,4.46,19.77,8.49,57.89,0.71,9.26,6.53,6.42,8.47
823,6.68,4.45,19.76,8.39,60.0,0.71,9.35,6.69,6.49,8.59
824,6.52,4.4,19.71,8.27,62.11,0.71,9.44,6.83,6.54,8.68
825,6.33,4.33,19.64,8.13,64.21,0.69,9.53,6.98,6.59,8.76
826,6.09,4.23,19.53,7.96,66.32,0.68,9.61,7.14,6.59,8.8
827,5.85,4.14,19.41,7.79,68.42,0.65,9.68,7.28,6.59,8.82
828,5.6,4.03,19.25,7.6,70.53,0.63,9.75,7.41,6.54,8.8
829,5.33,3.91,19.05,7.41,72.63,0.61,9.8,7.55,6.49,8.76
830,5.11,3.8,18.86,7.19,74.74,0.59,9.85,7.67,6.42,8.68
831,4.87,3.68,18.61,7.0,76.84,0.57,9.89,7.81,6.34,8.59
832,4.61,3.55,18.31,6.79,78.95,0.55,9.92,7.93,6.34,8.47
833,4.39,3.43,18.02,6.57,80.84,0.52,9.95,8.03,6.29,8.33
834,4.18,3.31,17.71,6.35,82.95,0.5,9.97,8.14,6.25,8.19
835,3.95,3.17,17.33,6.12,85.05,0.48,9.98,8.22,6.2,8.04
836,3.74,3.04,16.92,5.9,87.16,0.46,9.99,8.31,6.1,7.88
837,3.55,2.92,16.53,5.68,89.26,0.45,9.98,8.36,6.01,7.7
838,3.34,2.78,16.07,5.44,91.37,0.43,9.97,8.41,5.89,7.54
839,3.14,2.65,15.57,5.23,93.26,0.41,9.95,8.43,5.77,7.37
840,2.97,2.53,15.11,4.99,95.37,0.39,9.92,8.45,5.63,7.19
841,2.78,2.39,14.56,4.77,97.05,0.38,9.89,8.43,5.49,7.01
842,2.59,2.26,13.99,4.53,97.89,0.36,9.85,8.41,5.33,6.82
843,2.42,2.12,13.38,4.29,97.05,0.34,9.8,8.36,5.17,6.64
844,2.24,1.99,12.75,4.08,95.37,0.33,9.75,8.31,5.01,6.46
845,2.09,1.87,12.15,3.84,93.26,0.31,9.68,8.22,4.85,6.27
846,1.92,1.73,11.47,3.6,91.37,0.3,9.61,8.14,4.67,6.09
847,1.75,1.6,10.75,3.36,89.26,0.28,9.53,8.03,4.5,5.89
848,1.59,1.47,10.0,3.14,87.16,0.27,9.44,7.93,4.32,5.72
849,1.43,1.33,9.23,2.9,85.05,0.26,9.35,7.81,4.15,5.52
850,1.28,1.2,8.43,2.66,82.95,0.24,9.26,7.67,3.95,5.32
851,2.82,2.42,14.67,5.16,20.84,0.58,9.85,7.59,2.86,6.52
852,3.01,2.55,15.21,5.37,22.74,0.61,9.89,7.59,3.05,6.66
853,3.18,2.67,15.67,5.59,24.63,0.64,9.92,7.57,3.23,6.78
854,3.38,2.81,16.16,5.8,26.53,0.66,9.95,7.53,3.4,6.9
855,3.59,2.94,16.62,6.02,28.42,0.69,9.97,7.48,3.59,6.99
856,3.8,3.08,17.04,6.24,30.32,0.72,9.98,7.43,3.78,7.09
857,4.02,3.21,17.44,6.45,32.21,0.76,9.99,7.38,3.95,7.19
858,4.23,3.33,17.78,6.67,33.89,0.78,9.98,7.29,4.15,7.27
859,4.46,3.47,18.12,6.88,35.79,0.79,9.97,7.22,4.32,7.33
860,4.71,3.6,18.44,7.07,37.47,0.78,9.95,7.14,4.5,7.39
861,4.95,3.72,18.7,7.27,39.37,0.76,9.92,7.03,4.67,7.41
862,5.22,3.86,18.96,7.46,41.05,0.72,9.89,6.93,4.85,7.45
863,5.48,3.98,19.17,7.63,42.74,0.69,9.85,6.83,5.01,7.45
864,5.76,4.1,19.35,7.79,44.42,0.66,9.8,6.71,5.17,7.45
865,6.05,4.22,19.51,7.94,46.11,0.64,9.75,6.59,5.33,7.45
866,6.33,4.33,19.64,8.06,47.79,0.61,9.68,6.47,5.49,7.62
867,6.64,4.44,19.75,8.18,49.26,0.59,9.61,6.33,5.63,7.8
868,6.89,4.52,19.81,8.25,50.95,0.61,9.53,6.21,5.77,7.98
869,7.07,4.57,19.85,8.3,52.42,0.63,9.44,6.07,5.89,8.15
870,7.16,4.6,19.87,8.32,53.89,0.65,9.35,6.14,6.01,8.31
871,7.16,4.6,19.87,8.3,55.58,0.66,9.26,6.29,6.1,8.47
872,7.16,4.6,19.87,8.25,57.68,0.67,9.27,6.45,6.2,8.61
873,7.07,4.57,19.85,8.18,59.79,0.68,9.37,6.6,6.25,8.74
874,6.89,4.52,19.81,8.06,61.89,0.67,9.46,6.74,6.29,8.86
875,6.64,4.44,19.75,7.94,64.0,0.66,9.55,6.9,6.34,8.94
876,6.33,4.33,19.64,7.79,66.11,0.65,9.63,7.03,6.34,9.0
877,6.05,4.22,19.51,7.63,68.21,0.63,9.69,7.17,6.42,9.02
878,5.76,4.1,19.35,7.46,70.32,0.61,9.75,7.31,6.49,9.0
879,5.48,3.98,19.17,7.27,72.21,0.59,9.81,7.43,6.54,8.94
880,5.22,3.86,18.96,7.07,74.32,0.57,9.86,7.57,6.59,8.86
881,4.95,3.72,18.7,6.88,76.42,0.56,9.9,7.67,6.59,8.74
882,4.71,3.6,18.44,6.67,78.53,0.53,9.94,7.79,6.59,8.61
883,4.46,3.47,18.12,6.45,80.63,0.51,9.96,7.9,6.54,8.47
884,4.23,3.33,17.78,6.24,82.74,0.5,9.98,7.98,6.49,8.31
885,4.02,3.21,17.44,6.02,84.63,0.48,9.99,8.07,6.42,8.15
886,3.8,3.08,17.04,5.8,86.74,0.46,10.0,8.14,6.32,7.98
887,3.59,2.94,16.62,5.59,88.63,0.44,9.99,8.21,6.22,7.8
888,3.38,2.81,16.16,5.37,90.53,0.42,9.98,8.24,6.1,7.62
889,3.18,2.67,15.67,5.16,92.42,0.41,9.96,8.28,5.96,7.45
890,3.01,2.55,15.21,4.92,94.11,0.39,9.94,8.28,5.82,7.27
891,2.82,2.42,14.67,4.7,95.37,0.37,9.9,8.28,5.65,7.07
892,2.63,2.28,14.1,4.46,95.79,0.36,9.86,8.24,5.49,6.9
893,2.45,2.15,13.5,4.24,95.37,0.34,9.81,8.21,5.33,6.7
894,2.27,2.02,12.88,4.0,94.11,0.33,9.75,8.14,5.17,6.52
895,2.1,1.88,12.22,3.76,92.42,0.31,9.69,8.07,4.99,6.33
896,1.93,1.75,11.54,3.55,90.53,0.3,9.63,7.98,4.81,6.15
897,1.77,1.61,10.82,3.31,88.63,0.28,9.55,7.9,4.63,5.95
898,1.61,1.48,10.08,3.07,86.74,0.27,9.46,7.79,4.45,5.76
899,1.45,1.34,9.31,2.85,84.63,0.25,9.37,7.67,4.26,5.56
900,1.29,1.21,8.51,2.61,82.74,0.24,9.27,7.57,4.06,5.38
901,2.83,2.43,14.73,5.06,21.68,0.58,9.83,7.76,2.76,6.39
902,3.02,2.57,15.27,5.28,23.79,0.6,9.87,7.76,2.94,6.5
903,3.22,2.7,15.77,5.49,25.68,0.62,9.91,7.72,3.13,6.62
904,3.42,2.84,16.25,5.71,27.58,0.65,9.93,7.71,3.3,6.74
905,3.63,2.97,16.7,5.92,29.47,0.68,9.95,7.66,3.49,6.84
906,3.84,3.1,17.13,6.14,31.37,0.7,9.96,7.6,3.65,6.92
907,4.04,3.23,17.48,6.33,33.05,0.72,9.97,7.53,3.85,7.01
908,4.27,3.36,17.85,6.55,34.95,0.74,9.96,7.45,4.02,7.07
909,4.51,3.49,18.19,6.74,36.84,0.75,9.95,7.36,4.19,7.13
910,4.76,3.63,18.5,6.93,38.53,0.74,9.93,7.28,4.37,7.19
911,5.03,3.76,18.78,7.12,40.42,0.72,9.91,7.17,4.54,7.23
912,5.31,3.9,19.03,7.29,42.11,0.7,9.87,7.07,4.7,7.25
913,5.57,4.02,19.23,7.46,44.0,0.68,9.83,6.95,4.85,7.25
914,5.88,4.15,19.43,7.6,45.68,0.65,9.78,6.83,5.01,7.33
915,6.19,4.27,19.58,7.75,47.37,0.62,9.73,6.71,5.17,7.52
916,6.52,4.4,19.71,7.87,49.05,0.6,9.66,6.59,5.31,7.7
917,6.89,4.52,19.81,7.96,50.74,0.59,9.6,6.45,5.44,7.88
918,7.26,4.62,19.89,8.03,52.21,0.59,9.51,6.31,5.56,8.07
919,7.57,4.7,19.93,8.06,53.89,0.61,9.42,6.17,5.68,8.25
920,7.68,4.73,19.94,8.08,55.37,0.62,9.34,6.22,5.79,8.41
921,7.68,4.73,19.94,8.06,56.84,0.64,9.23,6.34,5.89,8.59
922,7.68,4.73,19.94,8.03,58.32,0.64,9.27,6.47,5.98,8.74
923,7.57,4.7,19.93,7.96,59.58,0.64,9.37,6.59,6.15,8.88
924,7.26,4.62,19.89,7.87,61.68,0.64,9.46,6.69,6.29,9.02
925,6.89,4.52,19.81,7.75,63.58,0.64,9.55,6.79,6.42,9.12
926,6.52,4.4,19.71,7.6,65.68,0.62,9.63,6.93,6.54,9.19
927,6.19,4.27,19.58,7.46,67.79,0.61,9.7,7.07,6.64,9.21
928,5.88,4.15,19.43,7.29,69.89,0.59,9.76,7.19,6.74,9.19
929,5.57,4.02,19.23,7.12,72.0,0.58,9.82,7.31,6.79,9.12
930,5.31,3.9,19.03,6.93,73.89,0.56,9.87,7.43,6.84,9.02
931,5.03,3.76,18.78,6.74,76.0,0.54,9.91,7.55,6.84,8.88
932,4.76,3.63,18.5,6.55,78.11,0.52,9.94,7.66,6.84,8.74
933,4.51,3.49,18.19,6.33,80.0,0.5,9.97,7.76,6.79,8.59
934,4.27,3.36,17.85,6.14,82.11,0.49,9.99,7.84,6.74,8.41
935,4.04,3.23,17.48,5.92,84.0,0.47,10.0,7.91,6.64,8.25
936,3.84,3.1,17.13,5.71,85.89,0.45,10.0,7.98,6.54,8.07
937,3.63,2.97,16.7,5.49,87.79,0.43,10.0,8.03,6.42,7.88
938,3.42,2.84,16.25,5.28,89.47,0.42,9.99,8.07,6.29,7.7
939,3.22,2.7,15.77,5.06,91.16,0.4,9.97,8.1,6.15,7.52
940,3.02,2.57,15.27,4.84,92.42,0.38,9.94,8.1,5.98,7.33
941,2.83,2.43,14.73,4.6,93.26,0.37,9.91,8.1,5.84,7.13
942,2.65,2.3,14.16,4.39,93.68,0.35,9.87,8.07,5.65,6.95
943,2.47,2.16,13.57,4.15,93.26,0.34,9.82,8.03,5.49,6.76
944,2.29,2.03,12.94,3.93,92.42,0.32,9.76,7.98,5.31,6.56
945,2.12,1.9,12.29,3.72,91.16,0.31,9.7,7.91,5.12,6.39
946,1.95,1.76,11.61,3.48,89.47,0.29,9.63,7.84,4.94,6.19
947,1.79,1.63,10.89,3.24,87.79,0.28,9.55,7.76,4.74,5.99
948,1.62,1.49,10.15,3.02,85.89,0.26,9.46,7.66,4.56,5.8
949,1.46,1.36,9.39,2.78,84.0,0.25,9.37,7.55,4.37,5.6
950,1.31,1.22,8.59,2.57,82.11,0.24,9.27,7.43,4.17,5.42
951,2.85,2.45,14.78,4.96,22.53,0.57,9.81,7.93,2.65,6.23
952,3.04,2.58,15.32,5.18,24.63,0.59,9.85,7.93,2.84,6.35
953,3.24,2.72,15.82,5.4,26.53,0.61,9.88,7.9,3.02,6.46
954,3.44,2.85,16.3,5.59,28.42,0.63,9.91,7.86,3.19,6.56
955,3.65,2.98,16.75,5.8,30.32,0.65,9.92,7.83,3.38,6.66
956,3.87,3.12,17.17,6.02,32.21,0.68,9.94,7.76,3.55,6.74
957,4.09,3.25,17.56,6.21,34.11,0.69,9.94,7.69,3.72,6.82
958,4.32,3.39,17.92,6.4,36.0,0.71,9.94,7.6,3.89,6.9
959,4.56,3.52,18.25,6.59,37.89,0.71,9.92,7.52,4.06,6.95
960,4.82,3.66,18.55,6.76,39.58,0.71,9.91,7.41,4.21,6.99
961,5.05,3.78,18.8,6.95,41.47,0.69,9.88,7.31,4.39,7.03
962,5.33,3.91,19.05,7.12,43.37,0.68,9.85,7.19,4.54,7.05
963,5.63,4.05,19.27,7.27,45.05,0.65,9.81,7.07,4.7,7.19
964,5.95,4.18,19.46,7.41,46.95,0.63,9.75,6.95,4.85,7.39
965,6.3,4.31,19.62,7.53,48.63,0.61,9.7,6.83,4.99,7.56
966,6.68,4.45,19.76,7.65,50.32,0.61,9.64,6.69,5.12,7.76
967,7.07,4.57,19.85,7.72,52.0,0.61,9.56,6.55,5.26,7.96
968,7.57,4.7,19.93,7.79,53.68,0.62,9.49,6.41,5.44,8.13
969,8.06,4.81,19.97,7.82,55.16,0.61,9.41,6.28,5.63,8.33
970,8.36,4.87,19.99,7.84,56.84,0.61,9.31,6.33,5.82,8.51
971,8.36,4.87,19.99,7.82,58.32,0.61,9.2,6.47,5.98,8.68
972,8.36,4.87,19.99,7.79,59.79,0.61,9.27,6.59,6.17,8.86
973,8.06,4.81,19.97,7.72,61.26,0.62,9.37,6.71,6.34,9.02
974,7.57,4.7,19.93,7.65,62.53,0.61,9.46,6.83,6.49,9.17
975,7.07,4.57,19.85,7.53,63.79,0.61,9.55,6.93,6.64,9.29
976,6.68,4.45,19.76,7.41,65.26,0.6,9.63,7.03,6.76,9.37
977,6.3,4.31,19.62,7.27,67.37,0.59,9.69,7.14,6.89,9.41
978,5.95,4.18,19.46,7.12,69.26,0.57,9.75,7.22,6.97,9.37
979,5.63,4.05,19.27,6.95,71.37,0.56,9.81,7.29,7.04,9.29
980,5.33,3.91,19.05,6.76,73.47,0.54,9.86,7.38,7.07,9.17
981,5.05,3.78,18.8,6.59,75.37,0.53,9.9,7.43,7.1,9.02
982,4.82,3.66,18.55,6.4,77.26,0.51,9.94,7.52,7.07,8.86
983,4.56,3.52,18.25,6.21,79.37,0.49,9.96,7.6,7.04,8.68
984,4.32,3.39,17.92,6.02,81.26,0.48,9.98,7.69,6.97,8.51
985,4.09,3.25,17.56,5.8,82.95,0.46,9.99,7.76,6.89,8.33
986,3.87,3.12,17.17,5.59,84.84,0.44,10.0,7.83,6.76,8.13
987,3.65,2.98,16.75,5.4,86.53,0.43,9.99,7.86,6.64,7.96
988,3.44,2.85,16.3,5.18,88.0,0.41,9.98,7.9,6.49,7.76
989,3.24,2.72,15.82,4.96,89.47,0.39,9.96,7.93,6.34,7.56
990,3.04,2.58,15.32,4.75,90.53,0.38,9.94,7.93,6.17,7.39
991,2.85,2.45,14.78,4.53,91.37,0.36,9.9,7.93,5.98,7.19
992,2.67,2.31,14.22,4.29,91.58,0.35,9.86,7.9,5.82,6.99
